year,month,day,hour,minute,second,max_vert_acc,rms_vert_acc,vert_acc_p95,source_file,bottom_rms
2024.0,12.0,5.0,22.0,37.0,8.0,0.15999999999999992,0.0387780649047501,0.08000000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208099_OY-GRP_05_12_24_38_22.csv,0.06102072936113356
2024.0,12.0,6.0,13.0,19.0,24.0,0.1499999999999999,0.05606564583911119,0.11900000000000016,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208105_OY-GRM_06_12_24_21_13.csv,0.07071067811865475
2024.0,12.0,6.0,12.0,56.0,31.0,0.20999999999999996,0.0776576737078461,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208106_OY-GRO_06_12_24_58_12.csv,0.1097573080330721
2024.0,12.0,6.0,13.0,34.0,46.0,0.16999999999999993,0.04158261564705418,0.08000000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208107_OY-GRP_06_12_24_36_13.csv,0.06879922480183434
2024.0,12.0,6.0,12.0,44.0,45.0,0.3400000000000001,0.05136829686759066,0.10000000000000009,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208124_OY-GRK_06_12_24_53_12.csv,0.04612444892605651
2024.0,12.0,6.0,13.0,21.0,45.0,0.44999999999999996,0.053753824833313285,0.11250000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208127_OY-GRK_06_12_24_30_13.csv,0.04286023798347369
2024.0,12.0,6.0,16.0,14.0,31.0,0.20999999999999996,0.05977570014946049,0.11699999999999991,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208138_OY-GRK_06_12_24_16_16.csv,0.07700649323271382
2024.0,12.0,6.0,17.0,13.0,58.0,0.18999999999999995,0.0667455004630355,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208142_OY-GRH_06_12_24_15_17.csv,0.073143694191639
2024.0,12.0,6.0,17.0,41.0,57.0,0.20999999999999996,0.06582936392400567,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208143_OY-GRM_06_12_24_44_17.csv,0.05350233639758178
2024.0,12.0,6.0,17.0,53.0,8.0,0.15999999999999992,0.050885492366030384,0.10000000000000009,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208144_OY-GRP_06_12_24_55_17.csv,0.06335087476375789
2024.0,12.0,6.0,23.0,11.0,59.0,0.20999999999999996,0.07902295931672994,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208173_OY-GRK_06_12_24_12_23.csv,0.07820092464533024
2024.0,12.0,6.0,23.0,36.0,53.0,0.3999999999999999,0.07117844955754467,0.11400000000000002,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208174_OY-GRG_06_12_24_38_23.csv,0.1378404875209022
2024.0,12.0,8.0,19.0,21.0,32.0,0.15000000000000002,0.054266765978486155,0.11000000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208180_OY-GRG_08_12_24_23_19.csv,0.06595452979136461
2024.0,12.0,9.0,12.0,52.0,2.0,0.22999999999999998,0.07132336854610388,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208187_OY-GRP_09_12_24_54_12.csv,0.06424385361474462
2024.0,12.0,9.0,13.0,49.0,42.0,0.26,0.09317957089637424,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208188_OY-GRO_09_12_24_51_13.csv,0.1260621539823379
2024.0,12.0,9.0,13.0,13.0,41.0,0.19999999999999996,0.05287890263563576,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208189_OY-GRK_09_12_24_15_13.csv,0.09060642256222132
2024.0,12.0,9.0,13.0,44.0,8.0,0.41999999999999993,0.06846135056905561,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208192_OY-GRG_09_12_24_46_13.csv,0.11470458952083329
2024.0,12.0,9.0,16.0,32.0,34.0,0.43999999999999995,0.05710033065748421,0.08000000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208194_OY-GRP_09_12_24_33_16.csv,0.12288205727444507
2024.0,12.0,9.0,19.0,39.0,57.0,0.3899999999999999,0.08184454417836727,0.1324999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208225_OY-GRO_09_12_24_41_19.csv,0.12922847983320085
2024.0,12.0,9.0,20.0,45.0,7.0,0.1100000000000001,0.04481809252213707,0.08699999999999997,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208227_OY-GRM_09_12_24_47_20.csv,0.05577733510227176
2024.0,12.0,9.0,21.0,40.0,19.0,0.1399999999999999,0.03235307267440623,0.050000000000000044,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208229_OY-GRP_09_12_24_42_21.csv,0.04654746681256313
