year,month,day,hour,minute,second,max_vert_acc,source_file
2024.0,12.0,9.0,12.0,23.0,17.0,0.4,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208295_OY-GRR_09_12_24_02_12.csv
2024.0,12.0,9.0,22.0,21.0,43.0,0.43999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208297_OY-GRR_09_12_24_14_22.csv
2024.0,12.0,11.0,12.0,38.0,3.0,0.1200000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208316_OY-GRK_11_12_24_40_12.csv
2024.0,12.0,11.0,13.0,36.0,30.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208318_OY-GRH_11_12_24_38_13.csv
2024.0,12.0,11.0,15.0,7.0,45.0,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208321_OY-GRO_11_12_24_09_15.csv
2024.0,12.0,11.0,19.0,38.0,48.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208358_OY-GRO_11_12_24_40_19.csv
2024.0,12.0,11.0,19.0,51.0,1.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208359_OY-GRP_11_12_24_53_19.csv
2024.0,12.0,11.0,19.0,58.0,1.0,0.09999999999999998,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208360_OY-GRK_11_12_24_00_20.csv
2024.0,12.0,11.0,20.0,53.0,22.0,0.26,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208364_OY-GRH_11_12_24_55_20.csv
2024.0,12.0,12.0,12.0,24.0,35.0,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208367_OY-GRH_12_12_24_25_12.csv
2024.0,12.0,12.0,11.0,1.0,20.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208375_OY-GRO_12_12_24_03_11.csv
2024.0,12.0,12.0,14.0,40.0,55.0,0.21999999999999997,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208382_OY-GRK_12_12_24_42_14.csv
